customer_id,age,gender,employment_status,annual_income,education_level,credit_history_length,num_previous_loans,num_defaults,avg_payment_delay_days,current_credit_score,loan_amount,loan_term_months,loan_purpose,collateral_present,identity_verified_on_chain,transaction_consistency_score,fraud_alert_flag,on_chain_credit_history,default_flag
CUST00001,59,M,employed,25652,Master,2,3,0,8,696,20358,60,Personal,No,1,0.37,0,4,0
CUST00002,49,F,unemployed,50754,Bachelor,19,8,1,10,698,22393,24,Crypto-Backed,No,1,0.84,0,6,0
CUST00003,35,M,self-employed,44092,High School,3,3,0,8,740,1315,12,Personal,No,1,0.31,0,2,0
CUST00004,63,F,employed,38168,Master,8,4,1,9,614,49039,36,Education,No,1,0.35,1,3,1
CUST00005,28,M,employed,52927,Master,5,2,2,11,630,34075,36,Business,Yes,1,0.84,0,4,1
CUST00006,41,F,employed,22319,Diploma,18,3,1,6,735,12890,12,Mortgage,No,1,0.39,0,7,0
CUST00007,59,M,employed,57414,High School,6,3,0,7,556,3807,60,Crypto-Backed,Yes,1,0.78,0,4,0
CUST00008,39,M,employed,17469,Diploma,15,2,1,9,698,74636,36,Mortgage,Yes,1,0.81,0,4,0
CUST00009,43,M,employed,27621,Master,14,3,1,9,716,14282,48,Crypto-Backed,No,0,0.65,0,3,0
CUST00010,31,M,employed,24386,High School,15,4,0,5,650,38501,24,Personal,No,1,0.49,0,4,1
CUST00011,31,F,employed,31263,Bachelor,13,6,0,13,663,37328,12,Crypto-Backed,No,0,0.79,1,5,0
CUST00012,44,M,employed,44591,Bachelor,3,0,1,9,654,29399,12,Crypto-Backed,No,1,0.95,0,6,0
CUST00013,56,F,employed,50176,Bachelor,22,5,1,13,692,31227,48,Personal,Yes,1,0.49,0,6,0
CUST00014,60,M,employed,38776,Diploma,1,1,0,11,483,59527,36,Mortgage,Yes,1,0.86,0,3,1
CUST00015,44,F,self-employed,20835,Diploma,6,6,2,7,749,14556,36,Crypto-Backed,Yes,1,0.37,0,7,1
CUST00016,23,M,employed,9992,High School,23,4,1,14,562,44887,36,Personal,Yes,1,0.49,0,5,1
CUST00017,42,M,student,52695,Diploma,6,0,0,13,574,70776,12,Education,Yes,0,0.44,0,4,1
CUST00018,22,F,unemployed,50838,Bachelor,5,4,0,14,585,18759,24,Education,Yes,1,0.93,0,5,0
